[Client] Connected to Donkey Sim at 127.0.0.1:9091
[Client] Listening for sim messages...
[Sim] Scene selection ready.
[Client] Loading scene: generated_track
[Sim] Car loaded — ready to drive.
[Main] Waiting for first telemetry packet...
cte=  0.00  speed= 0.02  hit=none
cte=  0.00  speed= 0.01  hit=none
cte=  0.00  speed= 0.38  hit=none
cte=  0.00  speed= 0.03  hit=none
cte=  0.00  speed= 0.02  hit=none
cte=  0.00  speed= 0.01  hit=none
cte=  0.00  speed= 0.38  hit=none
cte=  0.00  speed= 0.03  hit=none
cte=  0.00  speed= 0.02  hit=none
cte=  0.00  speed= 0.01  hit=none
cte=  0.00  speed= 0.38  hit=none
cte=  0.00  speed= 0.09  hit=none
cte=  0.00  speed= 0.23  hit=none
cte=  0.00  speed= 0.35  hit=none
cte= -0.00  speed= 0.47  hit=none
cte= -0.00  speed= 0.59  hit=none
cte= -0.00  speed= 0.72  hit=none
cte= -0.00  speed= 0.84  hit=none
cte= -0.00  speed= 0.94  hit=none
cte= -0.00  speed= 1.07  hit=none
cte= -0.00  speed= 1.19  hit=none
cte= -0.01  speed= 1.30  hit=none
cte= -0.01  speed= 1.41  hit=none
cte= -0.00  speed= 1.52  hit=none
cte= -0.00  speed= 1.63  hit=none
cte= -0.00  speed= 1.73  hit=none
cte= -0.00  speed= 1.81  hit=none
cte=  0.00  speed= 1.89  hit=none
cte=  0.01  speed= 1.95  hit=none
cte=  0.01  speed= 2.00  hit=none
cte=  0.01  speed= 2.05  hit=none
cte=  0.02  speed= 2.09  hit=none
cte=  0.02  speed= 2.12  hit=none
cte=  0.03  speed= 2.15  hit=none
cte=  0.03  speed= 2.17  hit=none
cte=  0.03  speed= 2.19  hit=none
cte=  0.03  speed= 2.21  hit=none
cte=  0.04  speed= 2.23  hit=none
cte=  0.04  speed= 2.24  hit=none
cte=  0.03  speed= 2.25  hit=none
cte=  0.03  speed= 2.26  hit=none
cte=  0.03  speed= 2.27  hit=none
cte=  0.02  speed= 2.27  hit=none
cte=  0.02  speed= 2.28  hit=none
cte=  0.01  speed= 2.28  hit=none
cte=  0.00  speed= 2.29  hit=none
cte= -0.01  speed= 2.29  hit=none
cte= -0.06  speed= 2.29  hit=none
cte= -0.31  speed= 2.30  hit=none
cte= -0.52  speed= 2.30  hit=none
cte= -0.99  speed= 2.30  hit=none
cte= -1.42  speed= 2.30  hit=none
cte= -1.81  speed= 2.29  hit=none
cte= -2.36  speed= 2.28  hit=none
cte= -2.84  speed= 2.26  hit=none
cte= -3.11  speed= 2.23  hit=none
cte= -3.60  speed= 2.20  hit=none
cte= -3.98  speed= 2.18  hit=none
cte= -4.24  speed= 2.16  hit=none

[Main] Car off track (cte=-4.24) — resetting car...
[Client] Car reset to start.
cte= -4.36  speed= 2.15  hit=none

[Main] Car off track (cte=-4.36) — resetting car...
[Client] Car reset to start.
cte= -4.72  speed= 2.13  hit=none

[Main] Car off track (cte=-4.72) — resetting car...
[Client] Car reset to start.
cte= -5.06  speed= 2.11  hit=none

[Main] Car off track (cte=-5.06) — resetting car...
[Client] Car reset to start.
cte= -5.39  speed= 2.09  hit=none

[Main] Car off track (cte=-5.39) — resetting car...
[Client] Car reset to start.
cte=  0.00  speed= 0.33  hit=none
cte=  0.00  speed= 0.06  hit=none
cte=  0.00  speed= 0.00  hit=none
cte=  0.00  speed= 0.01  hit=none
cte=  0.00  speed= 0.33  hit=none
cte=  0.00  speed= 0.06  hit=none
cte=  0.00  speed= 0.00  hit=none
cte=  0.00  speed= 0.01  hit=none
cte=  0.00  speed= 0.33  hit=none
cte=  0.00  speed= 0.06  hit=none
cte=  0.00  speed= 0.00  hit=none
cte=  0.00  speed= 0.01  hit=none
cte=  0.00  speed= 0.33  hit=none
cte=  0.00  speed= 0.06  hit=none
cte=  0.00  speed= 0.00  hit=none
cte=  0.00  speed= 0.01  hit=none
cte=  0.00  speed= 0.33  hit=none
cte=  0.00  speed= 0.09  hit=none
cte=  0.00  speed= 0.22  hit=none
cte=  0.00  speed= 0.34  hit=none
cte= -0.00  speed= 0.47  hit=none
cte= -0.00  speed= 0.59  hit=none
cte= -0.00  speed= 0.71  hit=none
cte= -0.00  speed= 0.83  hit=none
cte= -0.01  speed= 0.94  hit=none
cte= -0.01  speed= 1.07  hit=none
cte= -0.01  speed= 1.19  hit=none
cte= -0.01  speed= 1.29  hit=none
cte= -0.01  speed= 1.40  hit=none
cte= -0.01  speed= 1.52  hit=none
cte= -0.01  speed= 1.63  hit=none
cte= -0.00  speed= 1.73  hit=none
cte= -0.00  speed= 1.81  hit=none
cte=  0.00  speed= 1.89  hit=none
cte=  0.01  speed= 1.95  hit=none
cte=  0.01  speed= 2.00  hit=none
cte=  0.01  speed= 2.05  hit=none
cte=  0.02  speed= 2.09  hit=none
cte=  0.02  speed= 2.12  hit=none
cte=  0.03  speed= 2.15  hit=none
cte=  0.03  speed= 2.17  hit=none
cte=  0.03  speed= 2.19  hit=none
cte=  0.04  speed= 2.21  hit=none
cte=  0.04  speed= 2.22  hit=none
cte=  0.04  speed= 2.24  hit=none
cte=  0.04  speed= 2.25  hit=none
cte=  0.03  speed= 2.26  hit=none
cte=  0.03  speed= 2.27  hit=none
cte=  0.03  speed= 2.27  hit=none
cte=  0.02  speed= 2.28  hit=none
cte=  0.01  speed= 2.28  hit=none
cte=  0.00  speed= 2.29  hit=none
cte= -0.01  speed= 2.29  hit=none
cte= -0.05  speed= 2.29  hit=none
cte= -0.31  speed= 2.30  hit=none
cte= -0.51  speed= 2.30  hit=none
cte= -0.97  speed= 2.30  hit=none
cte= -1.41  speed= 2.30  hit=none
cte= -1.79  speed= 2.29  hit=none
cte= -2.35  speed= 2.28  hit=none
cte= -2.83  speed= 2.26  hit=none
cte= -3.10  speed= 2.23  hit=none
cte= -3.59  speed= 2.20  hit=none
cte= -3.97  speed= 2.18  hit=none
cte= -4.24  speed= 2.16  hit=none

[Main] Car off track (cte=-4.24) — resetting car...
[Client] Car reset to start.
cte= -4.35  speed= 2.15  hit=none

[Main] Car off track (cte=-4.35) — resetting car...
[Client] Car reset to start.
cte= -4.72  speed= 2.13  hit=none

[Main] Car off track (cte=-4.72) — resetting car...
[Client] Car reset to start.
cte= -5.06  speed= 2.11  hit=none

[Main] Car off track (cte=-5.06) — resetting car...
[Client] Car reset to start.
cte= -5.40  speed= 2.09  hit=none

[Main] Car off track (cte=-5.40) — resetting car...
[Client] Car reset to start.
cte=  0.00  speed= 0.33  hit=none
cte=  0.00  speed= 0.06  hit=none
cte=  0.00  speed= 0.00  hit=none
cte=  0.00  speed= 0.01  hit=none
cte=  0.00  speed= 0.33  hit=none
cte=  0.00  speed= 0.06  hit=none
cte=  0.00  speed= 0.00  hit=none
cte=  0.00  speed= 0.01  hit=none
cte=  0.00  speed= 0.33  hit=none
cte=  0.00  speed= 0.06  hit=none
cte=  0.00  speed= 0.00  hit=none
cte=  0.00  speed= 0.01  hit=none
cte=  0.00  speed= 0.33  hit=none
cte=  0.00  speed= 0.06  hit=none
cte=  0.00  speed= 0.00  hit=none
cte=  0.00  speed= 0.01  hit=none
cte=  0.00  speed= 0.33  hit=none
cte=  0.00  speed= 0.09  hit=none
cte=  0.00  speed= 0.22  hit=none
cte=  0.00  speed= 0.34  hit=none
cte= -0.00  speed= 0.47  hit=none
cte= -0.00  speed= 0.59  hit=none
cte= -0.00  speed= 0.71  hit=none
cte= -0.00  speed= 0.83  hit=none
cte= -0.01  speed= 0.94  hit=none
cte= -0.01  speed= 1.07  hit=none
cte= -0.01  speed= 1.19  hit=none
cte= -0.01  speed= 1.29  hit=none
cte= -0.01  speed= 1.40  hit=none
cte= -0.01  speed= 1.52  hit=none
cte= -0.01  speed= 1.63  hit=none
cte= -0.00  speed= 1.73  hit=none
cte= -0.00  speed= 1.81  hit=none
cte=  0.00  speed= 1.89  hit=none
cte=  0.01  speed= 1.95  hit=none
cte=  0.01  speed= 2.00  hit=none
cte=  0.01  speed= 2.05  hit=none
cte=  0.02  speed= 2.09  hit=none
cte=  0.02  speed= 2.12  hit=none
cte=  0.03  speed= 2.15  hit=none
cte=  0.03  speed= 2.17  hit=none
cte=  0.03  speed= 2.19  hit=none
cte=  0.04  speed= 2.21  hit=none
cte=  0.04  speed= 2.22  hit=none
cte=  0.04  speed= 2.24  hit=none
cte=  0.04  speed= 2.25  hit=none
cte=  0.03  speed= 2.26  hit=none
cte=  0.03  speed= 2.27  hit=none
cte=  0.03  speed= 2.27  hit=none
cte=  0.02  speed= 2.28  hit=none
cte=  0.01  speed= 2.28  hit=none
cte=  0.00  speed= 2.29  hit=none
cte= -0.01  speed= 2.29  hit=none
cte= -0.05  speed= 2.29  hit=none
cte= -0.31  speed= 2.30  hit=none
cte= -0.51  speed= 2.30  hit=none
cte= -0.97  speed= 2.30  hit=none
cte= -1.41  speed= 2.30  hit=none
cte= -1.79  speed= 2.29  hit=none
cte= -2.35  speed= 2.28  hit=none
cte= -2.83  speed= 2.26  hit=none
cte= -3.10  speed= 2.23  hit=none
cte= -3.59  speed= 2.20  hit=none
cte= -3.97  speed= 2.18  hit=none
cte= -4.24  speed= 2.16  hit=none

[Main] Car off track (cte=-4.24) — resetting car...
[Client] Car reset to start.
cte= -4.35  speed= 2.15  hit=none

[Main] Car off track (cte=-4.35) — resetting car...
[Client] Car reset to start.
cte= -4.72  speed= 2.13  hit=none

[Main] Car off track (cte=-4.72) — resetting car...
[Client] Car reset to start.
cte= -5.06  speed= 2.11  hit=none

[Main] Car off track (cte=-5.06) — resetting car...
[Client] Car reset to start.
cte= -5.40  speed= 2.09  hit=none

[Main] Car off track (cte=-5.40) — resetting car...
[Client] Car reset to start.
cte=  0.00  speed= 0.33  hit=none
cte=  0.00  speed= 0.06  hit=none
cte=  0.00  speed= 0.00  hit=none
cte=  0.00  speed= 0.01  hit=none
cte=  0.00  speed= 0.33  hit=none
cte=  0.00  speed= 0.06  hit=none
cte=  0.00  speed= 0.00  hit=none
cte=  0.00  speed= 0.01  hit=none
cte=  0.00  speed= 0.33  hit=none
cte=  0.00  speed= 0.06  hit=none
cte=  0.00  speed= 0.00  hit=none
cte=  0.00  speed= 0.01  hit=none
cte=  0.00  speed= 0.33  hit=none
cte=  0.00  speed= 0.06  hit=none
cte=  0.00  speed= 0.00  hit=none
cte=  0.00  speed= 0.01  hit=none
cte=  0.00  speed= 0.33  hit=none
cte=  0.00  speed= 0.09  hit=none
cte=  0.00  speed= 0.22  hit=none
cte=  0.00  speed= 0.34  hit=none
cte= -0.00  speed= 0.47  hit=none
cte= -0.00  speed= 0.59  hit=none
cte= -0.00  speed= 0.71  hit=none
cte= -0.00  speed= 0.83  hit=none
cte= -0.01  speed= 0.94  hit=none
cte= -0.01  speed= 1.07  hit=none
cte= -0.01  speed= 1.19  hit=none
cte= -0.01  speed= 1.29  hit=none
cte= -0.01  speed= 1.40  hit=none
cte= -0.01  speed= 1.52  hit=none
cte= -0.01  speed= 1.63  hit=none
cte= -0.00  speed= 1.73  hit=none
cte= -0.00  speed= 1.81  hit=none
cte=  0.00  speed= 1.89  hit=none
cte=  0.01  speed= 1.95  hit=none
cte=  0.01  speed= 2.00  hit=none
cte=  0.01  speed= 2.05  hit=none
cte=  0.02  speed= 2.09  hit=none
cte=  0.02  speed= 2.12  hit=none
cte=  0.03  speed= 2.15  hit=none
cte=  0.03  speed= 2.17  hit=none
cte=  0.03  speed= 2.19  hit=none
cte=  0.04  speed= 2.21  hit=none
cte=  0.04  speed= 2.22  hit=none
cte=  0.04  speed= 2.24  hit=none
cte=  0.04  speed= 2.25  hit=none
cte=  0.03  speed= 2.26  hit=none
cte=  0.03  speed= 2.27  hit=none
cte=  0.03  speed= 2.27  hit=none
cte=  0.02  speed= 2.28  hit=none
cte=  0.01  speed= 2.28  hit=none
cte=  0.00  speed= 2.29  hit=none
cte= -0.01  speed= 2.29  hit=none
cte= -0.05  speed= 2.29  hit=none
cte= -0.31  speed= 2.30  hit=none
cte= -0.51  speed= 2.30  hit=none
cte= -0.97  speed= 2.30  hit=none
cte= -1.41  speed= 2.30  hit=none
cte= -1.79  speed= 2.29  hit=none
cte= -2.35  speed= 2.28  hit=none
cte= -2.83  speed= 2.26  hit=none
cte= -3.10  speed= 2.23  hit=none
cte= -3.59  speed= 2.20  hit=none
cte= -3.97  speed= 2.18  hit=none
cte= -4.24  speed= 2.16  hit=none

[Main] Car off track (cte=-4.24) — resetting car...
[Client] Car reset to start.
cte= -4.35  speed= 2.15  hit=none

[Main] Car off track (cte=-4.35) — resetting car...
[Client] Car reset to start.
cte= -4.72  speed= 2.13  hit=none

[Main] Car off track (cte=-4.72) — resetting car...
[Client] Car reset to start.
cte= -5.06  speed= 2.11  hit=none

[Main] Car off track (cte=-5.06) — resetting car...
[Client] Car reset to start.
cte= -5.40  speed= 2.09  hit=none

[Main] Car off track (cte=-5.40) — resetting car...
[Client] Car reset to start.
cte=  0.00  speed= 0.33  hit=none
cte=  0.00  speed= 0.06  hit=none
cte=  0.00  speed= 0.00  hit=none
cte=  0.00  speed= 0.01  hit=none
cte=  0.00  speed= 0.33  hit=none
cte=  0.00  speed= 0.06  hit=none
cte=  0.00  speed= 0.00  hit=none
cte=  0.00  speed= 0.01  hit=none
cte=  0.00  speed= 0.33  hit=none
cte=  0.00  speed= 0.06  hit=none
cte=  0.00  speed= 0.00  hit=none
cte=  0.00  speed= 0.01  hit=none
cte=  0.00  speed= 0.33  hit=none
cte=  0.00  speed= 0.06  hit=none
cte=  0.00  speed= 0.00  hit=none
cte=  0.00  speed= 0.01  hit=none
cte=  0.00  speed= 0.33  hit=none
cte=  0.00  speed= 0.09  hit=none
cte=  0.00  speed= 0.22  hit=none
cte=  0.00  speed= 0.34  hit=none
cte= -0.00  speed= 0.47  hit=none
cte= -0.00  speed= 0.59  hit=none
cte= -0.00  speed= 0.71  hit=none
cte= -0.00  speed= 0.83  hit=none
cte= -0.01  speed= 0.94  hit=none
cte= -0.01  speed= 1.07  hit=none
cte= -0.01  speed= 1.19  hit=none
cte= -0.01  speed= 1.29  hit=none
cte= -0.01  speed= 1.40  hit=none
cte= -0.01  speed= 1.52  hit=none
cte= -0.01  speed= 1.63  hit=none
cte= -0.00  speed= 1.73  hit=none
cte= -0.00  speed= 1.82  hit=none
cte=  0.00  speed= 1.89  hit=none
cte=  0.01  speed= 1.95  hit=none
cte=  0.01  speed= 2.01  hit=none
cte=  0.01  speed= 2.05  hit=none
cte=  0.02  speed= 2.09  hit=none
cte=  0.02  speed= 2.12  hit=none
cte=  0.03  speed= 2.15  hit=none
cte=  0.03  speed= 2.17  hit=none
cte=  0.04  speed= 2.19  hit=none
cte=  0.04  speed= 2.21  hit=none
cte=  0.04  speed= 2.23  hit=none
cte=  0.04  speed= 2.24  hit=none
cte=  0.04  speed= 2.25  hit=none
cte=  0.03  speed= 2.26  hit=none
cte=  0.03  speed= 2.27  hit=none
cte=  0.03  speed= 2.27  hit=none
cte=  0.02  speed= 2.28  hit=none
cte=  0.01  speed= 2.28  hit=none
cte=  0.00  speed= 2.29  hit=none
cte= -0.01  speed= 2.29  hit=none
cte= -0.06  speed= 2.29  hit=none
cte= -0.31  speed= 2.30  hit=none
cte= -0.52  speed= 2.30  hit=none
cte= -0.98  speed= 2.30  hit=none
cte= -1.42  speed= 2.30  hit=none
cte= -1.81  speed= 2.29  hit=none
cte= -2.36  speed= 2.28  hit=none
cte= -2.85  speed= 2.26  hit=none
cte= -3.12  speed= 2.23  hit=none
cte= -3.62  speed= 2.20  hit=none
cte= -4.00  speed= 2.18  hit=none

[Main] Car off track (cte=-4.00) — resetting car...
[Client] Car reset to start.
cte= -4.30  speed= 2.17  hit=none

[Main] Car off track (cte=-4.30) — resetting car...
[Client] Car reset to start.
cte= -4.49  speed= 2.15  hit=none

[Main] Car off track (cte=-4.49) — resetting car...
[Client] Car reset to start.
cte= -4.95  speed= 2.13  hit=none

[Main] Car off track (cte=-4.95) — resetting car...
[Client] Car reset to start.
cte= -5.40  speed= 2.11  hit=none

[Main] Car off track (cte=-5.40) — resetting car...
[Client] Car reset to start.
cte=  0.00  speed= 0.33  hit=none
cte=  0.00  speed= 0.06  hit=none
cte=  0.00  speed= 0.00  hit=none
cte=  0.00  speed= 0.01  hit=none
cte=  0.00  speed= 0.33  hit=none
cte=  0.00  speed= 0.06  hit=none
cte=  0.00  speed= 0.00  hit=none
cte=  0.00  speed= 0.01  hit=none
cte=  0.00  speed= 0.23  hit=none
cte=  0.00  speed= 0.07  hit=none
cte=  0.00  speed= 0.01  hit=none
cte=  0.00  speed= 0.00  hit=none
cte=  0.00  speed= 0.33  hit=none
cte=  0.00  speed= 0.06  hit=none
cte=  0.00  speed= 0.00  hit=none
cte=  0.00  speed= 0.01  hit=none
cte=  0.00  speed= 0.33  hit=none
cte=  0.00  speed= 0.21  hit=none
cte=  0.00  speed= 0.32  hit=none
cte=  0.00  speed= 0.45  hit=none
cte=  0.00  speed= 0.57  hit=none
cte=  0.00  speed= 0.68  hit=none
cte=  0.00  speed= 0.81  hit=none
cte=  0.00  speed= 0.92  hit=none
cte=  0.00  speed= 1.05  hit=none
cte=  0.00  speed= 1.17  hit=none
cte=  0.00  speed= 1.27  hit=none
cte=  0.00  speed= 1.38  hit=none
cte=  0.01  speed= 1.50  hit=none
cte=  0.01  speed= 1.61  hit=none
cte=  0.01  speed= 1.71  hit=none
cte=  0.01  speed= 1.80  hit=none
cte=  0.02  speed= 1.87  hit=none
cte=  0.02  speed= 1.94  hit=none
cte=  0.02  speed= 1.99  hit=none
cte=  0.03  speed= 2.04  hit=none
cte=  0.03  speed= 2.08  hit=none
cte=  0.03  speed= 2.11  hit=none
cte=  0.03  speed= 2.14  hit=none
cte=  0.04  speed= 2.17  hit=none
cte=  0.04  speed= 2.19  hit=none
cte=  0.03  speed= 2.21  hit=none
cte=  0.03  speed= 2.22  hit=none
cte=  0.03  speed= 2.24  hit=none
cte=  0.03  speed= 2.25  hit=none
cte=  0.02  speed= 2.26  hit=none
cte=  0.01  speed= 2.26  hit=none
cte=  0.01  speed= 2.27  hit=none
cte=  0.00  speed= 2.28  hit=none
cte= -0.01  speed= 2.28  hit=none
cte= -0.02  speed= 2.29  hit=none
